index,file_offset,reg,value,note
0,0x004C,0x12,0x40,模式控制 0x40=standby 0x00=串流
1,0x0050,0x48,0x8A,內部時序  (推測)
2,0x0054,0x48,0x0A,內部時序  (推測)
3,0x0058,0x0E,0x19,PLL / clock  (推測)
4,0x005C,0x0F,0x04,PLL / clock  (推測)
5,0x0060,0x10,0x24,PLL / clock  (推測)
6,0x0064,0x11,0x80,PLL / clock  (推測)
7,0x0068,0x46,0x09,
8,0x006C,0x47,0x66,
9,0x0070,0x0D,0xF2,PLL 相關  (推測)
10,0x0074,0x57,0x6A,
11,0x0078,0x58,0x22,
12,0x007C,0x5F,0x41,
13,0x0080,0x60,0x28,
14,0x0084,0xA5,0xC0,
15,0x0088,0x20,0x00,HTS 每行長度 低位元組
16,0x008C,0x21,0x05,HTS 每行長度 高位元組
17,0x0090,0x22,0x65,VTS 每幀行數 低位元組
18,0x0094,0x23,0x04,VTS 每幀行數 高位元組
19,0x0098,0x24,0xC4,影像寬度 相關  (推測)
20,0x009C,0x25,0x40,影像高度 相關  (推測)
21,0x00A0,0x26,0x43,
22,0x00A4,0x27,0xC6,
23,0x00A8,0x28,0x1B,
24,0x00AC,0x29,0x04,
25,0x00B0,0x2A,0xBB,
26,0x00B4,0x2B,0x14,
27,0x00B8,0x2C,0x00,
28,0x00BC,0x2D,0x00,
29,0x00C0,0x2E,0x16,
30,0x00C4,0x2F,0x04,
31,0x00C8,0x41,0xC9,
32,0x00CC,0x42,0x33,
33,0x00D0,0x47,0x46,
34,0x00D4,0x76,0x6A,
35,0x00D8,0x77,0x09,
36,0x00DC,0x80,0x01,
37,0x00E0,0xAF,0x22,
38,0x00E4,0xAB,0x00,
39,0x00E8,0x1D,0x00,
40,0x00EC,0x1E,0x04,
41,0x00F0,0x6C,0x40,
42,0x00F4,0x9E,0xF8,
43,0x00F8,0x6E,0x2C,
44,0x00FC,0x70,0x6C,
45,0x0100,0x71,0x6D,
46,0x0104,0x72,0x6A,
47,0x0108,0x73,0x56,
48,0x010C,0x74,0x02,
49,0x0110,0x78,0x9D,
50,0x0114,0x89,0x01,
51,0x0118,0x6B,0x20,
52,0x011C,0x86,0x40,
53,0x0120,0x31,0x10,
54,0x0124,0x32,0x18,
55,0x0128,0x33,0xE8,
56,0x012C,0x34,0x5E,
57,0x0130,0x35,0x5E,
58,0x0134,0x3A,0xAF,
59,0x0138,0x3B,0x00,
60,0x013C,0x3C,0xFF,
61,0x0140,0x3D,0xFF,
62,0x0144,0x3E,0xFF,
63,0x0148,0x3F,0xBB,
64,0x014C,0x40,0xFF,
65,0x0150,0x56,0x92,
66,0x0154,0x59,0xAF,
67,0x0158,0x5A,0x47,
68,0x015C,0x61,0x18,
69,0x0160,0x6F,0x04,
70,0x0164,0x85,0x5F,
71,0x0168,0x8A,0x44,
72,0x016C,0x91,0x13,
73,0x0170,0x94,0xA0,
74,0x0174,0x9B,0x83,
75,0x0178,0x9C,0xE1,
76,0x017C,0xA4,0x80,
77,0x0180,0xA6,0x22,
78,0x0184,0xA9,0x1C,
79,0x0188,0x5B,0xE7,
80,0x018C,0x5C,0x28,
81,0x0190,0x5D,0x67,
82,0x0194,0x5E,0x11,
83,0x0198,0x62,0x21,
84,0x019C,0x63,0x0F,
85,0x01A0,0x64,0xD0,
86,0x01A4,0x65,0x02,
87,0x01A8,0x67,0x49,
88,0x01AC,0x66,0x00,
89,0x01B0,0x68,0x00,
90,0x01B4,0x69,0x72,
91,0x01B8,0x6A,0x12,
92,0x01BC,0x7A,0x00,
93,0x01C0,0x82,0x20,
94,0x01C4,0x8D,0x47,
95,0x01C8,0x8F,0x90,
96,0x01CC,0x45,0x01,
97,0x01D0,0x97,0x20,
98,0x01D4,0x13,0x81,輸出格式  (推測)
99,0x01D8,0x96,0x84,
100,0x01DC,0x4A,0x01,
101,0x01E0,0xB1,0x00,
102,0x01E4,0xA1,0x0F,
103,0x01E8,0xBE,0x00,
104,0x01EC,0x7E,0x48,
105,0x01F0,0xB5,0xC0,
106,0x01F4,0x50,0x02,
107,0x01F8,0x49,0x10,
108,0x01FC,0x7F,0x57,
109,0x0200,0x90,0x00,
110,0x0204,0x7B,0x4A,
111,0x0208,0x7C,0x0C,
112,0x020C,0x8C,0xFF,
113,0x0210,0x8E,0x00,
114,0x0214,0x8B,0x01,
115,0x0218,0x0C,0x00,
116,0x021C,0xBC,0x11,
117,0x0220,0x19,0x20,
118,0x0224,0x1B,0x4F,
119,0x0228,0x12,0x00,模式控制 0x40=standby 0x00=串流
120,0x022C,0x00,0x10,類比增益 gain
121,0x0230,0x40,0x00,
122,0x0234,0x40,0x00,
123,0x0238,0x46,0x00,
